,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
248,JV Coney,1974-1987,52,85,14,2668,174*,37.57,3,16,3,,NZ
249,Kamran Akmal,2002-2010,53,92,6,2648,158*,30.79,6,12,14,,PAK
250,JA Rudolph,2003-2012,48,83,9,2622,222*,35.43,6,11,8,,SA
251,FM Engineer,1961-1975,46,87,3,2611,121,31.08,2,16,7,,IND
252,WW Hinds,2000-2005,45,80,1,2608,213,33.01,5,14,6,,WI
253,MJ Guptill,2009-2016,47,89,1,2586,189,29.38,3,17,10,,NZ
254,Sadiq Mohammad,1969-1981,41,74,2,2579,166,35.81,5,10,6,,PAK
255,RD Jacobs,1998-2004,65,112,21,2577,118,28.31,3,14,12,,WI
256,RS Mahanama,1986-1998,52,89,1,2576,225,29.27,4,11,7,,SL
257,C Washbrook,1937-1956,37,66,6,2569,195,42.81,6,12,2,,ENG
258,GS Blewett,1995-2000,46,79,4,2552,214,34.02,4,15,6,,AUS
259,JN Rhodes,1992-2000,52,80,9,2532,117,35.66,3,17,4,,SA
260,GP Howarth,1975-1985,47,83,5,2531,147,32.44,6,11,7,,NZ
261,SM Nurse,1960-1969,29,54,1,2523,258,47.60,6,10,3,,WI
262,EJ Barlow,1961-1970,30,57,2,2516,201,45.74,6,15,3,,SA
263,TL Goddard,1955-1970,41,78,5,2516,112,34.46,1,18,4,,SA
264,A Kumble,1990-2008,132,173,32,2506,110*,17.77,1,5,17,,IND
265,BL D'Oliveira,1966-1972,44,70,8,2484,158,40.06,5,15,4,,ENG
266,AL Logie,1983-1991,52,78,9,2470,130,35.79,2,16,8,,WI
267,DW Randall,1977-1984,47,79,5,2470,174,33.37,7,12,14,,ENG
268,W Bardsley,1909-1926,41,66,5,2469,193*,40.47,6,14,6,,AUS
269,KR Rutherford,1985-1995,56,99,8,2465,107*,27.08,3,18,16,,NZ
270,AP Gurusinha,1985-1996,41,70,7,2452,143,38.92,7,8,3,,SL
271,P Roy,1951-1960,43,79,4,2442,173,32.56,5,9,14,,IND
272,WJ Edrich,1938-1955,39,63,2,2440,219,40.00,6,13,3,,ENG
273,DJ McGlew,1951-1962,34,64,6,2440,255*,42.06,7,10,4,,SA
274,TG Evans,1946-1959,91,133,14,2439,104,20.49,2,8,17,,ENG
275,LEG Ames,1929-1939,47,72,12,2434,149,40.56,8,7,5,,ENG
276,JHB Waite,1951-1965,50,86,7,2405,134,30.44,4,16,9,,SA
277,Z Crawley,2019-2024,41,76,2,2404,267,32.48,4,12,6,,ENG
278,Imran Farhat,2001-2013,40,77,2,2400,128,32.00,3,14,3,,PAK
279,AK Markram,2017-2024,37,67,1,2398,152,36.33,7,10,6,,SA
280,Litton Das,2015-2023,39,68,2,2394,141,36.27,3,16,1,,BAN
281,OJ Pope,2018-2024,40,71,5,2379,205,36.04,5,11,1,,ENG
282,MR Ramprakash,1991-2002,52,92,6,2350,154,27.32,2,12,12,,ENG
283,W Rhodes,1899-1930,58,98,21,2325,179,30.19,2,11,6,,ENG
284,BRM Taylor,2004-2021,34,68,4,2320,171,36.25,6,12,3,,ZIM
285,S Dhawan,2013-2018,34,58,1,2315,190,40.61,7,5,4,,IND
286,GT Dowling,1961-1972,39,77,3,2306,239,31.16,3,11,6,,NZ
287,WM Woodfull,1926-1934,35,54,4,2300,161,46.00,7,13,6,,AUS
288,TE Bailey,1949-1959,61,91,14,2290,134*,29.74,1,10,7,,ENG
289,PJP Burge,1955-1966,42,68,8,2290,181,38.16,4,12,5,,AUS
290,SE Gregory,1890-1912,58,100,7,2282,201,24.53,4,8,12,,AUS
291,MJK Smith,1958-1972,50,78,6,2278,121,31.63,3,11,11,,ENG
292,RR Pant,2018-2022,33,56,4,2271,159*,43.67,5,11,2,,IND
293,RL Chase,2016-2023,49,90,4,2265,137*,26.33,5,11,12,,WI
294,SE Marsh,2011-2019,38,68,2,2265,182,34.31,6,10,10,,AUS
295,RG Pollock,1963-1970,23,41,4,2256,274,60.97,7,11,1,,SA
296,AW Nourse,1902-1924,45,83,8,2234,111,29.78,1,15,3,,SA
297,Harbhajan Singh,1998-2015,103,145,23,2224,115,18.22,2,9,19,,IND
298,H Masakadza,2001-2018,38,76,2,2223,158,30.04,5,8,10,,ZIM
